year,gdp,consumption,investment,public_exp
1955,8211886.674005453,4628185.010598551,1727884.2971781678,1855817.366228734
1956,9054234.275462354,4676591.622678095,2669430.6226717667,1708212.0301124926
1957,9623789.086283294,5055027.324535681,2787392.902846421,1781368.858901192
1958,9936466.6358731,5477746.038281348,2508085.7598550706,1950634.8377366818
1959,11858189.173290733,5956351.695429339,3645642.264360013,2256195.2135013803
1960,13076017.936085828,6230669.1208331175,4520136.159624283,2325212.655628429
1961,15370011.925280228,6926199.554563573,5746967.1205425495,2696845.2501741042
1962,16557740.640815988,7978186.137785139,5156761.227376992,3422793.2756538577
1963,18498453.84899465,8727788.76249214,6289496.056070581,3481169.030431927
1964,20573506.363906145,9807275.185812254,6881984.384051531,3884246.794042361
1965,21518480.504227396,10678897.50045746,6509439.937655947,4330143.06611399
1966,23415240.866112664,11543493.66831294,7131830.580846131,4739916.616953594
1967,26449520.2029559,12434433.561541624,8845124.80075896,5169961.840655321
1968,29905944.216004908,13868553.263213832,10350442.004242526,5686948.948548546
1969,33754830.89941144,15118232.131028501,11971508.058355724,6665090.710027213
1970,36891586.617705636,16582518.599534722,13431611.253251884,6877456.7649190305
1971,39428478.92915689,18411480.987676695,12835380.557969887,8181617.383510312
1972,43337187.44669217,19898939.714060415,14364084.563756611,9074163.168875147
1973,46849303.363877274,20180912.457953703,17710534.253726855,8957856.652196713
1974,45333873.591373615,20561794.04744133,14757604.050111566,10014475.493820721
1975,45533584.65718793,23718449.093963582,11319610.688344179,10495524.87488017
1976,46013898.863379985,24615743.126577135,11129927.850589547,10268227.886213304
1977,48004249.52759497,26073009.62769901,10945892.181311756,10985347.718584199
1978,50007982.39446056,27527126.12725212,10783057.665788839,11697798.601419598
1979,53012570.40505296,28728587.738246396,12250450.810337065,12033531.856469495
1980,53686372.380082145,29076104.643531438,12602318.22894468,12007949.507606031
1981,54526283.461162806,29860998.365283187,12045438.981308615,12619846.114571001
1982,55584397.89665616,31069653.367098175,11922817.387949599,12591927.141608385
1983,56707464.79717938,32943719.65991465,11074354.117843822,12689391.019420905
1984,58967515.782737456,33973530.72198362,12099852.52148009,12894132.539273744
1985,61347971.79928187,35130269.074256055,13594759.628899211,12622943.096126609
1986,63956471.29248433,36462030.825054854,14216290.05466612,13278150.412763355
1987,67435622.28522284,38305043.737504885,15400315.74021632,13730262.80750164
1988,71851407.55222464,39527810.37184498,18118644.539291535,14204952.641088128
1989,74409316.81917748,39849528.70733664,19900161.337028842,14659626.774812002
1990,78375463.13121033,41311972.40858002,21436629.377165437,15626861.345464868
1991,80591906.72188953,42690092.35492392,21332214.553079754,16569599.813885856
1992,80426189.72860764,43507379.89404617,19267200.0640818,17651609.770479668
1993,80901641.45752357,44073963.501048036,18167012.33428565,18660665.62218988
1994,79071526.59492484,43463011.42435295,16863332.908534665,18745182.262037218
1995,83494818.55812801,44331802.01652964,18865644.273425117,20297372.26817325
1996,85724534.17988971,45850873.80259921,19935734.9693589,19937925.40793161
1997,82612623.23059614,45173419.350937106,18356591.89192893,19082611.987730104
1998,80549866.2073994,45454894.02753615,16202580.820157025,18892391.359706216
1999,79471085.98228768,46156063.75706003,14190412.690219026,19124609.535008624
2000,81701374.06496353,46784969.35749328,15485310.594857944,19431094.11261231
2001,81932092.08119391,47208180.32541642,14920547.178671664,19803364.577105824
2002,81543883.36774048,47821506.587080896,14108890.261602378,19613486.5190572
2003,82209586.75601058,48355342.58809107,14494448.092260178,19359796.07565933
2004,83775212.261531,48597109.70416029,15698967.013275325,19479135.54409539
2005,84962201.50524321,48820069.755812824,16751569.78890496,19390561.960525423
2006,86240306.02679327,49053695.09196819,18215743.601278584,18970867.33354649
2007,87223227.19832222,50080940.647998005,18008208.69698144,19134077.853342768
2008,85538365.10283624,49643428.1821751,16792624.226538412,19102312.694122724
2009,83004340.39710803,49519469.784822315,13443748.473191194,20041122.139094524
2010,85290014.72266605,49860453.99779179,14704188.740275282,20725371.984598976
2011,87670569.76128726,51526218.711639814,15217871.503766848,20926479.54588059
2012,87365467.85829355,51014007.63300243,15539870.609128432,20811589.616162684
2013,91928996.76611836,54319642.38308955,15887424.9611367,21721929.421892103
2014,90419125.6786461,52911291.69360438,15771822.083888207,21736011.901153516
2015,94368516.84915787,54358571.14617385,17413446.005716857,22596499.697267164
2016,96054207.27530465,54811814.522892,18668121.544831097,22574271.207581557
2017,98450459.28689033,55358940.777160436,20066193.732030317,23025324.777699575
2018,99405412.6924234,55848152.94539696,20160294.20771016,23396965.539316278
